"delta21","lambda21","mu.alpha","mu.sigma[1]","mu.sigma[2]","mu.sigma[3]","p.mean[1, 1]","p.mean[2, 1]","p.mean[1, 2]","p.mean[2, 2]","p.mean[1, 3]","p.mean[2, 3]","p.mean[1, 4]","p.mean[2, 4]","p.mean[1, 5]","p.mean[2, 5]","p.mean[1, 6]","p.mean[2, 6]","p.mean[1, 7]","p.mean[2, 7]","p.sigma","p1.alpha","p2.alpha","phi.beta","phi1.alpha","phi2.alpha","phi2.mu","pi.alpha","psi12.alpha","psi21.alpha","r.delta","r.lambda","w[1]","w[2]"
0,0.0349409716758978,1.02708604489651,0.199008520338418,0.309239655964467,0.473426856046154,0.765277796910229,0.354677926020993,0.359580163469217,0.391442652800489,0.476523167625926,0.524883444226973,0.252515283488998,0.32868163750376,0.694828345948007,0.204244876444547,0.0835337556950461,0.337747210439771,0.178785526124333,0.0786379032837303,1.16939956137215,0.364263032612906,0.522753357999507,-0.117346450174603,0.12326023330805,0.12326023330805,0.088815316182078,0.383471440640094,0.0749147976245847,0.133816300533812,0.253648259124553,0.516385389162699,0,1
0,0.0368170783383444,1.04592358322881,0.182976183777269,0.389013197418175,0.483820768527958,0.825010671426622,0.395071226157542,0.255079531065332,0.505525975229443,0.541902834920117,0.0886282265831996,0.434559178700582,0.362768266858017,0.743271863481136,0.22395668084679,0.104541505158496,0.16450279066597,0.154384703194561,0.0929604479189946,1.14942666394054,0.399765457503395,0.549974779713579,0.206814465909881,0.0666126465129532,0.0666126465129532,0.120000242502597,0.36271170701144,0.0852608486828805,0.133816300533812,0.253648259124553,0.639297239091898,0,1
0,0.0267850738189021,1.05316457740035,0.208776707348194,0.46866464308664,0.483820768527958,0.599698586111311,0.477730549185953,0.323042000531032,0.540130072611662,0.627359205959482,0.711051297712014,0.464422548128958,0.31355301720153,0.765268858540776,0.22619453504706,0.201286388694069,0.15413967285902,0.143428406303849,0.0274910675335991,1.22349039425582,0.399765457503395,0.529934513178567,0.111735205595519,0.0863396883948243,0.0863396883948243,0.118937918902661,0.282458391986845,0.0888938291448783,0.133816300533812,0.224678436906489,0.522286723788236,0,1
0,0.024060949927904,1.06054532661121,0.196571065247051,0.491640237570173,0.436913983464996,0.65441044155691,0.483163145361016,0.367270952219655,0.395605329951249,0.671950028532573,0.0514844521042906,0.444510475506228,0.378509003277523,0.760958019873347,0.264102058189191,0.0676456900239254,0.695548173851915,0.293303699672627,0.0523504512440909,1.22349039425582,0.326764170296907,0.558240647357625,0.111735205595519,0.0820316925338441,0.0820316925338441,0.113271868341796,0.282458391986845,0.0646488243454768,0.117741119286782,0.213760378627524,0.568559328571745,0,1
0,0.0459272233329188,1.06054532661121,0.196571065247051,0.511735637358617,0.484062413243865,0.766257752809255,0.318052898822886,0.502061349487584,0.419827441695687,0.580645233722631,0.386858563646057,0.430479105306966,0.313036924199135,0.706565318108263,0.151307026534539,0.167205418452016,0.267009917854511,0.265880514390383,0.0554442353288444,1.24007090465167,0.34689418015031,0.558240647357625,0.0161456629365932,0.116412619630597,0.116412619630597,0.121969222588077,0.531074035687941,0.0444859299377217,0.0920686448094612,0.245644531387469,0.563491512279333,0,1
0,0.0288697921558944,1.06364492589813,0.206083899371685,0.493764407671108,0.499145051131034,0.820857254227301,0.300547803043406,0.292045403062914,0.398650054113358,0.49458945973019,0.119120975121116,0.51292866127451,0.324635825770967,0.676179712087985,0.175732153670195,0.10639344645408,0.47231936802389,0.225018289876891,0.0642229941830295,1.29508059330962,0.301059181569966,0.57023148666617,0.0516403216461357,0.116412619630597,0.116412619630597,0.135197726912855,0.504328202368948,0.0296580857355163,0.0934452412654752,0.190386681355415,0.517650844231704,0,1
0,0.0194778301389899,1.06711636401285,0.20599414100186,0.441470930989012,0.455378379415149,0.506947017263395,0.330513027584579,0.438149447618492,0.423760845677485,0.511449567378694,0.178110313906249,0.425147992770844,0.387358502149255,0.725169633354621,0.140365714467176,0.159113538730133,0.203338843755327,0.169743269774797,0.00274558996732992,1.41803442110137,0.300440364720105,0.525483715852455,0.0516403216461357,0.1096218998745,0.1096218998745,0.127377459017701,0.482588393790391,0.0304137670264586,0.0824363741104268,0.218771016308587,0.556239160210309,0,1
0,0.0345220191309012,1.08645928739535,0.196197402037095,0.459094570824119,0.458916913113455,0.566824550576213,0.471600148868588,0.20088849659405,0.423507650177442,0.467625470012789,0.521735405970304,0.434377316690116,0.432671819925561,0.546691581062788,0.190312980099757,0.095140933865641,0.771571477385781,0.326952610468539,0.00306101519086323,1.52354216670894,0.306124531450133,0.564033927783606,0.100850775985092,0.0879019986531293,0.0879019986531293,0.118524560882522,0.461135386354099,0.0154464846487233,0.18774131459432,0.292215388957429,0.526519974183164,0,1
0,0.0317493882677547,1.10833692306656,0.200731879642145,0.423825705932519,0.451989003686257,0.798964471535321,0.292247169290228,0.257919492332635,0.575780962844191,0.529894301425473,0.387891172657056,0.359450616972972,0.338246898223775,0.631939175005602,0.209095200549264,0.131093474330177,0.154599729647978,0.189381392035924,0.0129815869683879,1.46333949672459,0.326162704116277,0.63494883436245,0.0891621813807485,0.0927107314264103,0.0927107314264103,0.12145996143785,0.461135386354099,0.0436737400198318,0.161198718306975,0.279276840348214,0.582953732545129,0,1
0,0.0344150498324957,1.09220682947207,0.206187060357176,0.43321646178435,0.451989003686257,0.667921813448364,0.487558909338459,0.35445345864711,0.495276650161861,0.549442264224562,0.424323444705904,0.399382871775605,0.364995761274974,0.541772868438718,0.124934927752425,0.155476698053669,0.942107858520945,0.162691958128215,0.00502198532785992,1.75215869821001,0.357769167247107,0.641669596009227,-0.124490950822875,0.106821919533199,0.106821919533199,0.073705314886593,0.329861696440192,0.0436737400198318,0.18886573782386,0.287872541139427,0.582953732545129,0,1
0,0.0384714573315244,1.08141787301125,0.201616579752127,0.499515925951442,0.466866746474529,0.656867491485683,0.338543848605935,0.348193809976774,0.453798363194631,0.533396495116722,0.184988626927529,0.427541808306053,0.468396743057316,0.736707784561588,0.228058748458714,0.171647894175645,0.817200909828294,0.207346563163458,0.0227292629290549,1.59248791612267,0.388700342931935,0.742233675464143,-0.103740370002264,0.123387837344238,0.123387837344238,0.090868822495031,0.487095767602817,0.0436737400198318,0.414110445154086,0.302251332080774,0.61707079039377,0,1
0,0.0253474775798872,1.09162088505677,0.199243871618688,0.426846157922628,0.514759768777178,0.720054936247601,0.321042846272025,0.301705478185067,0.478079570847175,0.53594427722844,0.780903082716183,0.474413009311492,0.436450004710268,0.64530228477517,0.10006483464042,0.113942845415435,0.780859946350545,0.207587821260809,0.00230888244837106,2.17362973368184,0.388700342931935,0.796160450665059,-0.320175256745678,0.118205641859225,0.118205641859225,0.0455400458706271,0.379405907457354,0.0754773038925717,0.399149550338195,0.302251332080774,0.532745383397684,0,1
0,0.0291860121998422,1.08952991337873,0.211331605055349,0.351578197791498,0.514759768777178,0.697754867273612,0.367876488585902,0.27258667265203,0.500220251974197,0.554888785798225,0.51839239641059,0.313319268590101,0.489555898002294,0.616465494320723,0.216203490689239,0.196215560507318,0.362564758958552,0.302582157239329,0.0588301755906776,1.590699262756,0.453610269090939,0.796160450665059,0.0265727601901412,0.141849892143474,0.141849892143474,0.15351018677154,0.464628176071698,0.09596540892637,0.260717240989463,0.257392140461403,0.532745383397684,0,1
0,0.0285061194177324,1.09160602815099,0.203578572332546,0.383677294173919,0.482021074907657,0.561629417900183,0.318007703523869,0.288425908236851,0.573771588696207,0.441864732772573,0.737873470472734,0.417831162309169,0.353398731252908,0.700729155700538,0.162508923477856,0.141625375168543,0.212810110006742,0.211624093210899,0.0212586530641042,1.22458534009469,0.424100777404786,0.764526459082226,0.100541004952634,0.098038108435348,0.098038108435348,0.132273720516129,0.323666500846467,0.106753600733517,0.223864347856788,0.30399919162436,0.525747045772769,0,1
0,0.0224395519053848,1.09160602815099,0.19208754430032,0.339376710719722,0.514152065689126,0.688364905310534,0.377380303391696,0.260515297942364,0.470974767766936,0.661247784454724,0.708991095906146,0.414042882051417,0.490562526888118,0.70978975536517,0.21694757781069,0.179655711855965,0.0359774226617063,0.140096342130993,0.0470151333659843,1.26311144205367,0.360100769581484,0.72799934203825,0.0343984413161016,0.0958640824160022,0.0958640824160022,0.10620872031464,0.344014450584493,0.0758681816925544,0.257835001034568,0.31670391827692,0.519800907555823,0,1
0,0.0224395519053848,1.07795864962976,0.194450101083198,0.226026267575327,0.487029728460746,0.662234229010398,0.451715574421911,0.369195355608084,0.499851737778942,0.654892992230057,0.674671041024678,0.476126366715614,0.365152506033222,0.770410352002734,0.275132153589671,0.239224220901474,0.195399580476747,0.257172916885857,0.0191356506700474,1.42007067126896,0.296490447249104,0.528943094272991,0.23088988933902,0.0784221002934895,0.0784221002934895,0.154565201423692,0.285377287488681,0.0687513807358513,0.209606814189378,0.293675190131314,0.588560488587508,0,1
0,0.0186303181938024,1.09785540729403,0.198746133204674,0.189463738258052,0.514240395876791,0.649351675534065,0.502752544522648,0.433301312694615,0.379945063270621,0.746374634781005,0.401590344279661,0.449635551686745,0.448610507264299,0.701763297772418,0.290404407996566,0.142488610819117,0.351543844783863,0.407658295746639,0.0456186289274698,1.25958033994792,0.373335735752052,0.585704595957469,0.23088988933902,0.0892430372658132,0.0892430372658132,0.178307395416977,0.290949636628252,0.0687513807358513,0.130671221108636,0.293675190131314,0.511412418362881,0,1
0,0.0319592666915261,1.09785540729403,0.200597453129735,0.189463738258052,0.490372606580001,0.596358689439463,0.482188139815211,0.366524148366487,0.525815106173934,0.689733357385904,0.0966648022223096,0.434788908759734,0.412173674794698,0.747632361765464,0.195957465811727,0.12879462829183,0.243412253203012,0.150651923177468,0.0425929711221342,1.30833630324347,0.379405660107513,0.579792610119255,0.23088988933902,0.0892430372658132,0.0892430372658132,0.178307395416977,0.425980448990901,0.0663041179190528,0.138420513559312,0.236718479389413,0.54036250175267,0,1
0,0.0233011415660957,1.10652221019836,0.216169085347584,0.202015553806709,0.454894763139329,0.65489985038996,0.489041448505043,0.343650296207521,0.497260746260476,0.694823446996615,0.488067198199821,0.457970953706044,0.370856424377657,0.753810646827325,0.217359881600475,0.175491344569039,0.107117426212219,0.14357397363175,0.0364604309351385,1.34989617898159,0.375384649453547,0.649372323034564,0.129568366928792,0.0906805141468234,0.0906805141468234,0.134173590800818,0.379250417945753,0.0476519045205589,0.172360921571443,0.236541321891069,0.527924788019945,0,1
0,0.0233011415660957,1.09849364213903,0.205911887365052,0.182000906957732,0.483251820008432,0.606121678188323,0.410615102495528,0.379929237340541,0.375905724908661,0.599410429038981,0.33553379798648,0.421967103318759,0.514568867373652,0.846048453877812,0.264270046946215,0.184924894209247,0.36550454376312,0.149758438033726,0.0263473271703615,1.07569486514878,0.392604956417153,0.583511211055181,0.129568366928792,0.0934400420192697,0.0934400420192697,0.137824199143663,0.441180003278667,0.0384699949376549,0.151177029985523,0.213310231295741,0.527924788019945,0,1
